Date,Consommation (MW),ds,y
2013-05-11,43560.875,2013-05-11,43560.875
2013-05-12,41959.5625,2013-05-12,41959.5625
2013-05-13,49980.958333333336,2013-05-13,49980.958333333336
2013-05-14,51394.958333333336,2013-05-14,51394.958333333336
2013-05-15,51861.083333333336,2013-05-15,51861.083333333336
2013-05-16,53227.291666666664,2013-05-16,53227.291666666664
2013-05-17,52412.604166666664,2013-05-17,52412.604166666664
2013-05-18,47179.375,2013-05-18,47179.375
2013-05-19,44408.1875,2013-05-19,44408.1875
2013-05-20,46785.791666666664,2013-05-20,46785.791666666664
2013-05-21,54268.541666666664,2013-05-21,54268.541666666664
2013-05-22,54161.395833333336,2013-05-22,54161.395833333336
2013-05-23,54568.4375,2013-05-23,54568.4375
2013-05-24,56548.666666666664,2013-05-24,56548.666666666664
2013-05-25,50228.604166666664,2013-05-25,50228.604166666664
2013-05-26,45946.9375,2013-05-26,45946.9375
2013-05-27,51228.708333333336,2013-05-27,51228.708333333336
2013-05-28,52633.6875,2013-05-28,52633.6875
2013-05-29,53977.625,2013-05-29,53977.625
2013-05-30,54499.833333333336,2013-05-30,54499.833333333336
2013-05-31,53040.583333333336,2013-05-31,53040.583333333336
2013-06-01,45461.104166666664,2013-06-01,45461.104166666664
2013-06-02,41302.479166666664,2013-06-02,41302.479166666664
2013-06-03,48556.875,2013-06-03,48556.875
2013-06-04,49113.375,2013-06-04,49113.375
2013-06-05,48645.729166666664,2013-06-05,48645.729166666664
2013-06-06,48297.1875,2013-06-06,48297.1875
2013-06-07,47413.875,2013-06-07,47413.875
2013-06-08,41684.541666666664,2013-06-08,41684.541666666664
2013-06-09,38988.520833333336,2013-06-09,38988.520833333336
2013-06-10,46698.0625,2013-06-10,46698.0625
2013-06-11,47959.291666666664,2013-06-11,47959.291666666664
2013-06-12,48193.416666666664,2013-06-12,48193.416666666664
2013-06-13,48103.979166666664,2013-06-13,48103.979166666664
2013-06-14,47267.354166666664,2013-06-14,47267.354166666664
2013-06-15,41585.125,2013-06-15,41585.125
2013-06-16,38614.916666666664,2013-06-16,38614.916666666664
2013-06-17,47089.479166666664,2013-06-17,47089.479166666664
2013-06-18,48714.416666666664,2013-06-18,48714.416666666664
2013-06-19,48742.020833333336,2013-06-19,48742.020833333336
2013-06-20,48384.520833333336,2013-06-20,48384.520833333336
2013-06-21,47340.083333333336,2013-06-21,47340.083333333336
2013-06-22,41636.354166666664,2013-06-22,41636.354166666664
2013-06-23,38955.791666666664,2013-06-23,38955.791666666664
2013-06-24,46622.208333333336,2013-06-24,46622.208333333336
2013-06-25,47893.166666666664,2013-06-25,47893.166666666664
2013-06-26,47904.979166666664,2013-06-26,47904.979166666664
2013-06-27,48083.958333333336,2013-06-27,48083.958333333336
2013-06-28,47618.75,2013-06-28,47618.75
2013-06-29,42106.75,2013-06-29,42106.75
2013-06-30,38840.708333333336,2013-06-30,38840.708333333336
2013-07-01,46557.729166666664,2013-07-01,46557.729166666664
2013-07-02,48141.729166666664,2013-07-02,48141.729166666664
2013-07-03,48442.583333333336,2013-07-03,48442.583333333336
2013-07-04,48371.6875,2013-07-04,48371.6875
2013-07-05,47894.541666666664,2013-07-05,47894.541666666664
2013-07-06,42380.020833333336,2013-07-06,42380.020833333336
2013-07-07,39267.291666666664,2013-07-07,39267.291666666664
2013-07-08,47712.958333333336,2013-07-08,47712.958333333336
2013-07-09,49449.166666666664,2013-07-09,49449.166666666664
2013-07-10,49644.6875,2013-07-10,49644.6875
2013-07-11,49126.8125,2013-07-11,49126.8125
2013-07-12,48467.083333333336,2013-07-12,48467.083333333336
2013-07-13,42754.979166666664,2013-07-13,42754.979166666664
2013-07-14,39312.5,2013-07-14,39312.5
2013-07-15,47650.708333333336,2013-07-15,47650.708333333336
2013-07-16,49304.666666666664,2013-07-16,49304.666666666664
2013-07-17,49379.958333333336,2013-07-17,49379.958333333336
2013-07-18,49326.208333333336,2013-07-18,49326.208333333336
2013-07-19,48706.270833333336,2013-07-19,48706.270833333336
2013-07-20,43184.354166666664,2013-07-20,43184.354166666664
2013-07-21,40201.25,2013-07-21,40201.25
2013-07-22,48615.083333333336,2013-07-22,48615.083333333336
2013-07-23,49760.020833333336,2013-07-23,49760.020833333336
2013-07-24,49407.854166666664,2013-07-24,49407.854166666664
2013-07-25,49860.541666666664,2013-07-25,49860.541666666664
2013-07-26,48810.3125,2013-07-26,48810.3125
2013-07-27,42599.229166666664,2013-07-27,42599.229166666664
2013-07-28,38779.75,2013-07-28,38779.75
2013-07-29,44456.145833333336,2013-07-29,44456.145833333336
2013-07-30,45617.916666666664,2013-07-30,45617.916666666664
2013-07-31,46232.1875,2013-07-31,46232.1875
2013-08-01,46945.770833333336,2013-08-01,46945.770833333336
2013-08-02,46152.416666666664,2013-08-02,46152.416666666664
2013-08-03,40538.541666666664,2013-08-03,40538.541666666664
