Date,Consommation (MW)
2022-02-15,66843.0
2022-02-16,65060.375
2022-02-17,60733.25
2022-02-18,59896.6875
2022-02-19,58372.666666666664
2022-02-20,56097.291666666664
2022-02-21,63264.666666666664
2022-02-22,63660.354166666664
2022-02-23,62134.020833333336
2022-02-24,63039.979166666664
2022-02-25,64560.979166666664
2022-02-26,60621.041666666664
2022-02-27,59134.0625
2022-02-28,63930.6875
