Date,Code INSEE région,mois,jour,journée,weekend,Consommation_MW,Production_MW,Production_verte_MW,Differentiel_MW,Thermique_MW,Nucléaire_MW,Eolien_MW,Solaire_MW,Hydraulique_MW,Pompage_MW,Bioénergies_MW,Ech_physiques_MW,Stockage_batterie_MW,Déstockage_batterie_MW,Date
2021-03-01,49.916666666666664,3.0,1.0,0.0,0.0,58754.229166666664,5184.28125,1334.045138888889,288.0954861111111,569.1753472222222,3281.0607638888887,314.56944444444446,108.78819444444444,816.0451388888889,-10.008680555555555,94.64236111111111,38.15277777777778,-278.1354166666667,11.476128472222221,2021-03-01
2021-03-02,49.916666666666664,3.0,2.0,1.0,0.0,59028.64583333333,5233.670138888889,1235.3663194444443,314.61631944444446,648.8385416666666,3349.465277777778,232.72743055555554,72.44097222222223,837.1892361111111,-14.600694444444445,93.00868055555556,39.201388888888886,-299.984375,13.05704861111111,2021-03-02
2021-03-03,49.916666666666664,3.0,3.0,2.0,0.0,58322.77083333333,5228.831597222223,1108.217013888889,368.60069444444446,661.0954861111111,3459.519097222222,103.35069444444444,58.173611111111114,853.0,-10.82986111111111,93.69270833333333,40.53125,-357.74652777777777,13.43375,2021-03-03
2021-03-04,49.916666666666664,3.0,4.0,3.0,0.0,58353.33333333333,5337.875,1117.4583333333333,475.09722222222223,661.9184027777778,3558.4982638888887,133.72222222222223,75.11631944444444,811.34375,-13.930555555555555,97.27604166666667,41.529513888888886,-461.16493055555554,13.239982638888888,2021-03-04
2021-03-05,49.916666666666664,3.0,5.0,4.0,0.0,60596.4375,5594.310763888889,1375.2395833333333,544.6076388888889,687.0295138888889,3532.0416666666665,405.05902777777777,77.42361111111111,794.9583333333334,-31.89236111111111,97.79861111111111,41.317708333333336,-512.6302083333334,13.34171875,2021-03-05
2021-03-06,49.916666666666664,3.0,6.0,5.0,1.0,57728.6875,5167.385416666667,1263.4774305555557,356.6614583333333,351.203125,3552.7048611111113,427.03472222222223,85.38020833333333,653.2135416666666,-75.59201388888889,97.84895833333333,41.84722222222222,-280.9895833333333,7.55078125,2021-03-06
2021-03-07,49.916666666666664,3.0,7.0,6.0,1.0,56290.5625,4937.494791666667,917.4253472222222,246.61458333333334,392.92534722222223,3627.144097222222,161.22222222222223,63.17534722222222,595.6666666666666,-58.479166666666664,97.36111111111111,42.84375,-188.09722222222223,8.518385416666668,2021-03-07
2021-03-08,49.916666666666664,3.0,8.0,0.0,0.0,62564.083333333336,5473.102430555556,1208.78125,259.42881944444446,614.8836805555555,3649.4375,193.70138888888889,92.12847222222223,829.4322916666666,-15.833333333333334,93.51909722222223,43.041666666666664,-243.57118055555554,11.905052083333334,2021-03-08
2021-03-09,49.916666666666664,3.0,9.0,1.0,0.0,63604.64583333333,5479.03125,1195.1597222222222,178.64409722222223,650.9166666666666,3632.9548611111113,159.97569444444446,111.30381944444444,830.5833333333334,-5.182291666666667,93.296875,42.920138888888886,-173.41840277777777,12.414809027777778,2021-03-09
2021-03-10,49.916666666666664,3.0,10.0,2.0,0.0,63743.39583333333,5687.619791666667,1494.1354166666667,375.6701388888889,548.734375,3644.75,580.109375,109.57638888888889,710.4861111111111,-29.145833333333332,93.96354166666667,43.0,-346.4895833333333,10.125104166666667,2021-03-10
2021-03-11,49.916666666666664,3.0,11.0,3.0,0.0,59962.45833333333,5635.555555555556,1793.65625,638.6840277777778,254.98958333333334,3586.909722222222,1127.9965277777778,59.86805555555556,512.4791666666666,-75.12673611111111,93.3125,42.21006944444444,-563.5277777777778,5.108315972222222,2021-03-11
2021-03-12,49.916666666666664,3.0,12.0,4.0,0.0,59720.1875,5570.460069444444,1699.703125,593.7777777777778,249.68055555555554,3621.0763888888887,978.2777777777778,87.78125,537.5451388888889,-102.08680555555556,96.09895833333333,42.717013888888886,-491.7135416666667,5.017621527777778,2021-03-12
2021-03-13,49.916666666666664,3.0,13.0,5.0,1.0,55541.4375,5412.373263888889,1762.2465277777778,783.9201388888889,215.67013888888889,3434.456597222222,1131.2395833333333,77.84201388888889,456.7482638888889,-125.4375,96.41666666666667,41.295138888888886,-658.5434027777778,4.847482638888889,2021-03-13
2021-03-14,49.916666666666664,3.0,14.0,6.0,1.0,54500.1875,5200.517361111111,1453.8090277777778,658.8350694444445,221.46006944444446,3525.2482638888887,816.8298611111111,98.65798611111111,444.84375,-138.328125,93.47743055555556,42.48784722222222,-520.4236111111111,5.154878472222222,2021-03-14
2021-03-15,49.916666666666664,3.0,15.0,0.0,0.0,61019.85416666667,5555.059027777777,1521.4305555555557,470.07118055555554,320.5763888888889,3713.0520833333335,707.3506944444445,63.453125,662.671875,-72.0625,87.95486111111111,44.28472222222222,-398.0052083333333,6.832309027777778,2021-03-15
2021-03-16,49.916666666666664,3.0,16.0,1.0,0.0,61749.22916666667,5517.548611111111,1246.34375,371.7795138888889,534.0347222222222,3737.1701388888887,351.87152777777777,89.04340277777777,717.6024305555555,-29.93576388888889,87.82638888888889,44.49131944444444,-341.75868055555554,10.521944444444445,2021-03-16
2021-03-17,49.916666666666664,3.0,17.0,2.0,0.0,61875.3125,5858.444444444444,1572.3333333333333,702.1684027777778,559.3663194444445,3726.7447916666665,668.625,91.71701388888889,722.8940972222222,-38.13194444444444,89.09722222222223,44.25868055555556,-664.0225694444445,11.00328125,2021-03-17
2021-03-18,49.916666666666664,3.0,18.0,3.0,0.0,63976.75,5671.276041666667,1327.234375,339.8802083333333,570.0052083333334,3774.0364583333335,288.0798611111111,77.85243055555556,869.9739583333334,-7.166666666666667,91.328125,44.625,-332.61284722222223,10.782274305555555,2021-03-18
2021-03-19,49.916666666666664,3.0,19.0,4.0,0.0,63825.9375,5799.532986111111,1532.595486111111,480.7048611111111,493.85069444444446,3773.0868055555557,615.6961805555555,68.69097222222223,756.84375,-40.35243055555556,91.36458333333333,44.76215277777778,-440.328125,9.5340625,2021-03-19
2021-03-20,49.916666666666664,3.0,20.0,5.0,1.0,59175.22916666667,5276.039930555556,1197.4583333333333,344.7708333333333,473.69965277777777,3604.8819444444443,378.17534722222223,139.49131944444446,588.2170138888889,-66.31944444444444,91.57465277777777,42.751736111111114,-278.41840277777777,10.058055555555555,2021-03-20
2021-03-21,49.916666666666664,3.0,21.0,6.0,1.0,57065.58333333333,4868.107638888889,1052.2309027777778,112.64236111111111,315.5295138888889,3500.347222222222,393.9513888888889,103.86458333333333,463.5329861111111,-142.99131944444446,90.88194444444444,41.74131944444444,30.383680555555557,7.3803125000000005,2021-03-21
2021-03-22,49.916666666666664,3.0,22.0,0.0,0.0,62148.125,5294.345486111111,1138.6059027777778,115.33506944444444,479.4045138888889,3676.3350694444443,271.32465277777777,119.51909722222223,660.4357638888889,-43.404513888888886,87.32638888888889,43.44965277777778,-71.921875,9.468038194444444,2021-03-22
