,RMSE train,RMSE test,SCORE train,SCORE test,MAE train,MAE test,MSE train,MSE test
Linear Regression,241.8004316716336,224.9430650244652,0.999494325561602,0.9995274260649382,187.60741486796172,169.1065925702849,58467.44875658834,50599.382502600776
Decision Tree,0.0,3415.8664732224343,1.0,0.8910251402255615,0.0,2366.860280797101,0.0,11668143.762885071
Random Forest ,763.5777678039682,2028.742699173279,0.9949572968029683,0.961560432965937,577.2104275495035,1516.3324239918068,583051.0074844908,4115796.939448882
KNeighborsRegressor,1524.7367183267902,1518.7130174124761,0.9798930325390397,0.9784584981606786,1170.1139187503315,1208.763110428481,2324822.0602139495,2306489.229258108
SupportVectorRegression,351.23543937420084,336.8945736611906,0.9989330267879849,0.9989399836128793,276.36912315365714,256.5929333636078,123366.33387238791,113497.95376235538
