,Date,Consommation_MW,Production_MW,Production_verte_MW,Differentiel_MW,Thermique_MW,Nucléaire_MW,Eolien_MW,Solaire_MW,Hydraulique_MW,Pompage_MW,Bioénergies_MW,Ech_physiques_MW,Stockage_batterie_MW,Déstockage_batterie_MW,mois,jour,date,temperature
211,2021-09-28,46700.583333333336,52784.625,9713.5625,6084.041666666667,3739.8125,39331.25,2225.0,1701.6875,4746.333333333333,-359.9166666666667,1040.5416666666667,380.3541666666667,-5627.708333333333,91.294375,9,28,2021-09-28,15.055312500000008
212,2021-09-29,46909.916666666664,54134.895833333336,13005.520833333334,7224.979166666667,1408.3333333333333,39721.041666666664,6130.958333333333,1869.9791666666667,3964.2708333333335,-652.75,1040.3125,382.9375,-6478.083333333333,40.693958333333335,9,29,2021-09-29,15.494166666666665
213,2021-09-30,47482.875,52603.229166666664,10447.791666666666,5120.354166666667,1736.5416666666667,40418.895833333336,2665.7708333333335,2344.4375,4389.166666666667,-460.9166666666667,1048.4166666666667,395.6041666666667,-4568.645833333333,45.969166666666666,9,30,2021-09-30,13.053020833333326
214,2021-10-01,47705.854166666664,53838.854166666664,12004.354166666666,6133.0,1061.6875,40772.8125,5442.5,1742.6666666666667,3762.3125,-791.7916666666666,1056.875,399.1875,-5249.645833333333,32.746874999999996,10,1,2021-10-01,13.83114583333333
215,2021-10-02,42954.979166666664,52263.6875,13912.416666666666,9308.708333333334,809.875,37541.395833333336,8223.041666666666,1560.8333333333333,3042.3125,-1441.5416666666667,1086.2291666666667,389.0,-7841.291666666667,26.810833333333335,10,2,2021-10-02,16.304270833333334
216,2021-10-03,40964.708333333336,48471.75,12884.604166666666,7507.041666666667,722.125,34865.020833333336,7775.0,726.6666666666666,3337.1458333333335,-1710.6666666666667,1045.7916666666667,371.6458333333333,-5785.895833333333,21.495833333333334,10,3,2021-10-03,16.238958333333333
217,2021-10-04,47268.604166666664,56561.875,13299.25,9293.270833333334,3687.5208333333335,39575.104166666664,5215.166666666667,1379.3333333333333,5690.291666666667,-750.0833333333334,1014.4583333333334,420.3125,-8541.791666666666,93.42791666666666,10,4,2021-10-04,13.767604166666672
218,2021-10-05,48914.958333333336,58855.541666666664,17619.833333333332,9940.583333333334,2406.1041666666665,38829.604166666664,9032.458333333334,1173.8958333333333,6389.270833333333,-483.75,1024.2083333333333,418.5833333333333,-9453.916666666666,67.59291666666667,10,5,2021-10-05,13.771874999999996
219,2021-10-06,49847.875,59508.875,16938.0,9661.0,2774.9583333333335,39795.916666666664,7136.8125,1975.1458333333333,6810.75,-574.7708333333334,1015.2916666666666,426.5625,-9084.666666666666,72.91375000000001,10,6,2021-10-06,13.170625000000001
220,2021-10-07,49108.979166666664,56392.229166666664,12587.4375,7283.25,4425.458333333333,39379.333333333336,1863.4166666666667,2130.1041666666665,7592.479166666667,-184.22916666666666,1001.4375,422.6458333333333,-7097.979166666667,106.74854166666667,10,7,2021-10-07,12.750833333333334
