Date,Température
2021-03-01,8.558020833333334
2021-03-02,9.56489583333333
2021-03-03,9.8115625
2021-03-04,9.095
2021-03-05,7.054270833333335
2021-03-06,5.770937499999996
2021-03-07,6.128333333333335
2021-03-08,6.121770833333336
2021-03-09,5.548437499999999
2021-03-10,6.347291666666667
2021-03-11,10.784791666666665
2021-03-12,8.881458333333335
2021-03-13,8.56354166666667
2021-03-14,7.360208333333333
2021-03-15,8.154583333333337
2021-03-16,7.704270833333332
2021-03-17,7.891041666666667
2021-03-18,5.568958333333334
2021-03-19,5.754895833333333
2021-03-20,4.763854166666666
2021-03-21,5.5825000000000005
2021-03-22,6.328020833333337
2021-03-23,7.386458333333336
2021-03-24,9.0184375
2021-03-25,9.682708333333332
2021-03-26,9.763333333333332
2021-03-27,9.0784375
2021-03-28,9.689895833333326
2021-03-29,12.518854166666669
2021-03-30,14.490520833333333
2021-03-31,15.337708333333333
2021-04-01,15.36854166666667
2021-04-02,12.767083333333332
2021-04-03,9.6840625
2021-04-04,8.787500000000001
2021-04-05,8.162812499999996
2021-04-06,4.979374999999998
2021-04-07,4.346458333333333
2021-04-08,7.169895833333335
2021-04-09,9.829270833333334
2021-04-10,11.1628125
2021-04-11,8.781354166666665
2021-04-12,6.372916666666669
2021-04-13,6.507395833333335
2021-04-14,6.61208333333333
2021-04-15,6.270520833333332
2021-04-16,6.126354166666672
2021-04-17,7.639791666666668
2021-04-18,8.358125000000005
2021-04-19,9.48239583333333
2021-04-20,10.939583333333333
2021-04-21,11.633958333333325
2021-04-22,11.978958333333331
2021-04-23,12.812291666666665
2021-04-24,13.816874999999996
2021-04-25,13.159583333333329
2021-04-26,12.754999999999997
2021-04-27,12.560208333333337
2021-04-28,11.936979166666665
2021-04-29,10.9784375
2021-04-30,10.292187499999999
2021-05-01,9.631875000000003
2021-05-02,9.232083333333334
2021-05-03,9.795625
2021-05-04,11.461770833333333
2021-05-05,10.990104166666663
2021-05-06,10.733229166666666
2021-05-07,12.190208333333336
2021-05-08,15.496145833333335
2021-05-09,18.141145833333326
2021-05-10,14.64875
2021-05-11,12.379895833333327
2021-05-12,11.844583333333333
2021-05-13,12.074374999999996
2021-05-14,11.791249999999996
